# Wave Flux Err
6.180020010005002405e+03 1.009934166982358272e+00 2.000000000000000042e-02
6.180040020010004810e+03 9.972345884619893130e-01 2.000000000000000042e-02
6.180060030015007214e+03 1.012953636804109658e+00 2.000000000000000042e-02
6.180080040020009619e+03 1.030460456170733341e+00 2.000000000000000042e-02
6.180100050025012933e+03 9.953167861519394144e-01 2.000000000000000042e-02
6.180120060030015338e+03 9.953171106128150258e-01 2.000000000000000042e-02
6.180140070035017743e+03 1.031584103397895635e+00 2.000000000000000042e-02
6.180160080040020148e+03 1.015348539905132741e+00 2.000000000000000042e-02
6.180180090045022553e+03 9.906103564277395357e-01 2.000000000000000042e-02
6.180200100050024957e+03 1.010851044193108006e+00 2.000000000000000042e-02
6.180220110055027362e+03 9.907314888290349453e-01 2.000000000000000042e-02
6.180240120060029767e+03 9.906852470700436841e-01 2.000000000000000042e-02
6.180260130065032172e+03 1.004839087097403327e+00 2.000000000000000042e-02
6.180280140070034577e+03 9.617342362953565926e-01 2.000000000000000042e-02
6.180300150075037891e+03 9.655014840584638103e-01 2.000000000000000042e-02
6.180320160080040296e+03 9.887540896418849368e-01 2.000000000000000042e-02
6.180340170085042701e+03 9.797432173357493168e-01 2.000000000000000042e-02
6.180360180090045105e+03 1.006284785907816559e+00 2.000000000000000042e-02
6.180380190095047510e+03 9.818393572566858074e-01 2.000000000000000042e-02
6.180400200100049915e+03 9.717537642493142558e-01 2.000000000000000042e-02
6.180420210105052320e+03 1.029312813161057161e+00 2.000000000000000042e-02
6.180440220110054725e+03 9.954843112771835090e-01 2.000000000000000042e-02
6.180460230115057129e+03 1.001350400882627723e+00 2.000000000000000042e-02
6.180480240120060444e+03 9.715048725642073668e-01 2.000000000000000042e-02
6.180500250125062848e+03 9.891121812952171632e-01 2.000000000000000042e-02
6.180520260130065253e+03 1.002218287074784886e+00 2.000000000000000042e-02
6.180540270135067658e+03 9.769799632246144450e-01 2.000000000000000042e-02
6.180560280140070063e+03 1.007513794630038761e+00 2.000000000000000042e-02
6.180580290145072468e+03 9.879870599523894459e-01 2.000000000000000042e-02
6.180600300150074872e+03 9.941659582401004558e-01 2.000000000000000042e-02
6.180620310155077277e+03 9.879657004741232429e-01 2.000000000000000042e-02
6.180640320160079682e+03 1.037045395889163890e+00 2.000000000000000042e-02
6.180660330165082087e+03 9.997298871820128330e-01 2.000000000000000042e-02
6.180680340170085401e+03 9.788456125729361190e-01 2.000000000000000042e-02
6.180700350175087806e+03 1.016450728866881148e+00 2.000000000000000042e-02
6.180720360180090211e+03 9.755829570956235930e-01 2.000000000000000042e-02
6.180740370185092615e+03 1.004177101462813360e+00 2.000000000000000042e-02
6.180760380190095020e+03 9.608064265502269663e-01 2.000000000000000042e-02
6.180780390195097425e+03 9.734361075123721951e-01 2.000000000000000042e-02
6.180800400200099830e+03 1.003937052667638552e+00 2.000000000000000042e-02
6.180820410205102235e+03 1.014769159007459232e+00 2.000000000000000042e-02
6.180840420210104639e+03 1.003427192486007424e+00 2.000000000000000042e-02
6.180860430215107954e+03 9.976868606664455186e-01 2.000000000000000042e-02
6.180880440220110358e+03 9.939777518517545207e-01 2.000000000000000042e-02
6.180900450225112763e+03 9.704293854028313016e-01 2.000000000000000042e-02
6.180920460230115168e+03 9.856029404862173271e-01 2.000000000000000042e-02
6.180940470235117573e+03 9.907870486761216622e-01 2.000000000000000042e-02
6.180960480240119978e+03 1.021142268058157443e+00 2.000000000000000042e-02
6.180980490245122382e+03 1.006872188760847608e+00 2.000000000000000042e-02
6.181000500250124787e+03 9.647390192951422749e-01 2.000000000000000042e-02
6.181020510255127192e+03 1.006481501220412245e+00 2.000000000000000042e-02
6.181040520260130506e+03 9.922981756514910323e-01 2.000000000000000042e-02
6.181060530265132911e+03 9.864613806781624694e-01 2.000000000000000042e-02
6.181080540270135316e+03 1.012233345882707081e+00 2.000000000000000042e-02
6.181100550275137721e+03 1.020619809974541381e+00 2.000000000000000042e-02
6.181120560280140126e+03 1.018625421322784996e+00 2.000000000000000042e-02
6.181140570285142530e+03 9.832154678889321042e-01 2.000000000000000042e-02
6.181160580290144935e+03 9.938155702463508101e-01 2.000000000000000042e-02
6.181180590295147340e+03 1.006625085798482866e+00 2.000000000000000042e-02
6.181200600300149745e+03 1.019510719116921260e+00 2.000000000000000042e-02
6.181220610305152150e+03 9.904163312186368140e-01 2.000000000000000042e-02
6.181240620310155464e+03 9.962866358403204003e-01 2.000000000000000042e-02
6.181260630315157869e+03 9.778731152884950761e-01 2.000000000000000042e-02
6.181280640320160273e+03 9.760756816789656343e-01 2.000000000000000042e-02
6.181300650325162678e+03 1.016250329997349322e+00 2.000000000000000042e-02
6.181320660330165083e+03 1.027124613506670725e+00 2.000000000000000042e-02
6.181340670335167488e+03 9.985596098863170900e-01 2.000000000000000042e-02
6.181360680340169893e+03 1.020070469655293355e+00 2.000000000000000042e-02
6.181380690345172297e+03 1.007232531574772327e+00 2.000000000000000042e-02
6.181400700350174702e+03 9.870974153548996988e-01 2.000000000000000042e-02
6.181420710355178016e+03 1.007227721927147046e+00 2.000000000000000042e-02
6.181440720360180421e+03 1.030760540513045775e+00 2.000000000000000042e-02
6.181460730365182826e+03 9.992832877650246193e-01 2.000000000000000042e-02
6.181480740370185231e+03 1.031292681023727287e+00 2.000000000000000042e-02
6.181500750375187636e+03 9.476049051825800040e-01 2.000000000000000042e-02
6.181520760380190040e+03 1.016437856705487253e+00 2.000000000000000042e-02
6.181540770385192445e+03 1.001740747333011772e+00 2.000000000000000042e-02
6.181560780390194850e+03 9.940196583058306112e-01 2.000000000000000042e-02
6.181580790395197255e+03 1.001835020189367986e+00 2.000000000000000042e-02
6.181600800400199660e+03 9.602484257067362972e-01 2.000000000000000042e-02
6.181620810405202974e+03 9.956063655786625555e-01 2.000000000000000042e-02
6.181640820410205379e+03 1.007142054098844719e+00 2.000000000000000042e-02
6.181660830415207784e+03 1.029557682893150306e+00 2.000000000000000042e-02
6.181680840420210188e+03 9.896343969590468692e-01 2.000000000000000042e-02
6.181700850425212593e+03 9.838299285893195023e-01 2.000000000000000042e-02
6.181720860430214998e+03 9.899646590945947455e-01 2.000000000000000042e-02
6.181740870435217403e+03 1.018307841635842648e+00 2.000000000000000042e-02
6.181760880440219807e+03 1.006574820786898528e+00 2.000000000000000042e-02
6.181780890445222212e+03 9.894045938266294860e-01 2.000000000000000042e-02
6.181800900450225527e+03 1.010265145868838754e+00 2.000000000000000042e-02
6.181820910455227931e+03 1.001941347494443413e+00 2.000000000000000042e-02
6.181840920460230336e+03 1.019372695615334390e+00 2.000000000000000042e-02
6.181860930465232741e+03 9.859587332205795862e-01 2.000000000000000042e-02
6.181880940470235146e+03 9.934465514558508126e-01 2.000000000000000042e-02
6.181900950475237551e+03 9.921576306110443388e-01 2.000000000000000042e-02
6.181920960480239955e+03 9.707294939931006006e-01 2.000000000000000042e-02
6.181940970485242360e+03 1.005922197775236615e+00 2.000000000000000042e-02
6.181960980490244765e+03 1.005220896951863230e+00 2.000000000000000042e-02
6.181980990495247170e+03 1.000102059911525343e+00 2.000000000000000042e-02
6.182001000500250484e+03 9.953080473776456660e-01 2.000000000000000042e-02
6.182021010505252889e+03 9.716923744666459140e-01 2.000000000000000042e-02
6.182041020510255294e+03 9.915868821108556608e-01 2.000000000000000042e-02
6.182061030515257698e+03 9.931454974901108290e-01 2.000000000000000042e-02
6.182081040520260103e+03 9.839542416866419172e-01 2.000000000000000042e-02
6.182101050525262508e+03 9.967740720840967406e-01 2.000000000000000042e-02
6.182121060530264913e+03 1.008080802695935363e+00 2.000000000000000042e-02
6.182141070535267318e+03 1.037723502821936705e+00 2.000000000000000042e-02
6.182161080540269722e+03 1.003491340288267919e+00 2.000000000000000042e-02
6.182181090545273037e+03 1.005150791075783312e+00 2.000000000000000042e-02
6.182201100550275441e+03 9.985108641714629529e-01 2.000000000000000042e-02
6.182221110555277846e+03 9.616243574019931462e-01 2.000000000000000042e-02
6.182241120560280251e+03 9.994695034158745939e-01 2.000000000000000042e-02
6.182261130565282656e+03 1.001204384336229714e+00 2.000000000000000042e-02
6.182281140570285061e+03 1.049264621595297875e+00 2.000000000000000042e-02
6.182301150575287465e+03 9.961525592537524565e-01 2.000000000000000042e-02
6.182321160580289870e+03 1.006030724595396553e+00 2.000000000000000042e-02
6.182341170585292275e+03 9.993055415495022409e-01 2.000000000000000042e-02
6.182361180590295589e+03 9.766262153815984393e-01 2.000000000000000042e-02
6.182381190595297994e+03 1.022856231610136835e+00 2.000000000000000042e-02
6.182401200600300399e+03 1.015038435154850260e+00 2.000000000000000042e-02
6.182421210605302804e+03 1.015820412618650082e+00 2.000000000000000042e-02
6.182441220610305209e+03 9.818120237539293971e-01 2.000000000000000042e-02
6.182461230615307613e+03 1.028055658235907277e+00 2.000000000000000042e-02
6.182481240620310018e+03 9.719627499239902324e-01 2.000000000000000042e-02
6.182501250625312423e+03 1.011736912213745843e+00 2.000000000000000042e-02
6.182521260630314828e+03 1.043808882007061234e+00 2.000000000000000042e-02
6.182541270635317233e+03 9.801890421365495598e-01 2.000000000000000042e-02
6.182561280640320547e+03 9.886738131905530302e-01 2.000000000000000042e-02
6.182581290645322952e+03 1.001992794222911654e+00 2.000000000000000042e-02
6.182601300650325356e+03 9.899302529724528510e-01 2.000000000000000042e-02
6.182621310655327761e+03 9.689864965621017845e-01 2.000000000000000042e-02
6.182641320660330166e+03 1.001371023803183435e+00 2.000000000000000042e-02
6.182661330665332571e+03 9.787536891511307013e-01 2.000000000000000042e-02
6.182681340670334976e+03 1.009471611151858461e+00 2.000000000000000042e-02
6.182701350675337380e+03 9.816112769628534407e-01 2.000000000000000042e-02
6.182721360680339785e+03 1.030998448851087046e+00 2.000000000000000042e-02
6.182741370685343099e+03 9.843346940020095692e-01 2.000000000000000042e-02
6.182761380690345504e+03 9.935585286173700403e-01 2.000000000000000042e-02
6.182781390695347909e+03 1.016270102376334750e+00 2.000000000000000042e-02
6.182801400700350314e+03 9.753824707823878226e-01 2.000000000000000042e-02
6.182821410705352719e+03 1.004548954879900258e+00 2.000000000000000042e-02
6.182841420710355123e+03 1.026142610344799033e+00 2.000000000000000042e-02
6.182861430715357528e+03 9.678500896337982606e-01 2.000000000000000042e-02
6.182881440720359933e+03 1.003692430556036852e+00 2.000000000000000042e-02
6.182901450725362338e+03 1.005197408325179342e+00 2.000000000000000042e-02
6.182921460730364743e+03 1.015636208924984185e+00 2.000000000000000042e-02
6.182941470735368057e+03 9.752607363154658371e-01 2.000000000000000042e-02
6.182961480740370462e+03 9.735906173092492288e-01 2.000000000000000042e-02
6.182981490745372867e+03 1.010438579915450941e+00 2.000000000000000042e-02
6.183001500750375271e+03 1.005939441094180653e+00 2.000000000000000042e-02
6.183021510755377676e+03 1.005009603657016415e+00 2.000000000000000042e-02
6.183041520760380081e+03 1.006928709854751469e+00 2.000000000000000042e-02
6.183061530765382486e+03 9.863992502420390052e-01 2.000000000000000042e-02
6.183081540770384890e+03 1.004644817619661401e+00 2.000000000000000042e-02
6.183101550775387295e+03 1.005861192139234195e+00 2.000000000000000042e-02
6.183121560780390610e+03 9.857127133034901956e-01 2.000000000000000042e-02
6.183141570785393014e+03 1.037315230871557636e+00 2.000000000000000042e-02
6.183161580790395419e+03 1.009476398045380474e+00 2.000000000000000042e-02
6.183181590795397824e+03 9.761736686553615927e-01 2.000000000000000042e-02
6.183201600800400229e+03 1.013130809738096660e+00 2.000000000000000042e-02
6.183221610805402634e+03 9.805061031205632993e-01 2.000000000000000042e-02
6.183241620810405038e+03 1.015741427553280118e+00 2.000000000000000042e-02
6.183261630815407443e+03 1.023171646005479607e+00 2.000000000000000042e-02
6.183281640820409848e+03 9.835860869987231858e-01 2.000000000000000042e-02
6.183301650825412253e+03 1.019267254884541396e+00 2.000000000000000042e-02
6.183321660830415567e+03 1.008255349765699638e+00 2.000000000000000042e-02
6.183341670835417972e+03 1.016440933347536157e+00 2.000000000000000042e-02
6.183361680840420377e+03 1.037935588714708146e+00 2.000000000000000042e-02
6.183381690845422781e+03 9.950919656488045328e-01 2.000000000000000042e-02
6.183401700850425186e+03 9.849250035821384142e-01 2.000000000000000042e-02
6.183421710855427591e+03 9.822094371703394833e-01 2.000000000000000042e-02
6.183441720860429996e+03 9.836835189501802468e-01 2.000000000000000042e-02
6.183461730865432401e+03 9.984576893408652065e-01 2.000000000000000042e-02
6.183481740870434805e+03 1.006822761898097829e+00 2.000000000000000042e-02
6.183501750875438120e+03 1.005533537253882503e+00 2.000000000000000042e-02
6.183521760880440524e+03 1.016543385106358777e+00 2.000000000000000042e-02
6.183541770885442929e+03 1.000259756814330547e+00 2.000000000000000042e-02
6.183561780890445334e+03 1.029070399363768429e+00 2.000000000000000042e-02
6.183581790895447739e+03 9.947065799923656693e-01 2.000000000000000042e-02
6.183601800900450144e+03 1.054403098818009754e+00 2.000000000000000042e-02
6.183621810905452548e+03 1.012513061263135894e+00 2.000000000000000042e-02
6.183641820910454953e+03 9.828565619935900610e-01 2.000000000000000042e-02
6.183661830915457358e+03 9.785818619671690088e-01 2.000000000000000042e-02
6.183681840920460672e+03 1.009649159032060428e+00 2.000000000000000042e-02
6.183701850925463077e+03 9.955304538117479840e-01 2.000000000000000042e-02
6.183721860930465482e+03 1.014279718183370704e+00 2.000000000000000042e-02
6.183741870935467887e+03 1.009464459568390593e+00 2.000000000000000042e-02
6.183761880940470292e+03 9.985431275912314275e-01 2.000000000000000042e-02
6.183781890945472696e+03 9.830638302424381525e-01 2.000000000000000042e-02
6.183801900950475101e+03 9.697027588614436366e-01 2.000000000000000042e-02
6.183821910955477506e+03 9.910694030570218471e-01 2.000000000000000042e-02
6.183841920960479911e+03 1.017127676719807194e+00 2.000000000000000042e-02
6.183861930965482316e+03 1.004281574442618341e+00 2.000000000000000042e-02
6.183881940970485630e+03 9.750849227040788714e-01 2.000000000000000042e-02
6.183901950975488035e+03 1.003463315505199072e+00 2.000000000000000042e-02
6.183921960980490439e+03 1.007706043284086084e+00 2.000000000000000042e-02
6.183941970985492844e+03 9.823225456582219683e-01 2.000000000000000042e-02
6.183961980990495249e+03 1.003074195185214457e+00 2.000000000000000042e-02
6.183981990995497654e+03 1.001163866110528655e+00 2.000000000000000042e-02
6.184002001000500059e+03 9.771402844514680552e-01 2.000000000000000042e-02
6.184022011005502463e+03 1.007155436272605176e+00 2.000000000000000042e-02
6.184042021010504868e+03 1.011215378241569596e+00 2.000000000000000042e-02
6.184062031015508182e+03 1.021660711217200479e+00 2.000000000000000042e-02
6.184082041020510587e+03 1.021075726024724961e+00 2.000000000000000042e-02
6.184102051025512992e+03 9.724462962459760051e-01 2.000000000000000042e-02
6.184122061030515397e+03 9.812431814185802459e-01 2.000000000000000042e-02
6.184142071035517802e+03 1.010300386163409225e+00 2.000000000000000042e-02
6.184162081040520206e+03 1.010275398430335647e+00 2.000000000000000042e-02
6.184182091045522611e+03 1.010300631721483100e+00 2.000000000000000042e-02
6.184202101050525016e+03 1.077054306382052795e+00 2.000000000000000042e-02
6.184222111055527421e+03 1.011417485346654876e+00 2.000000000000000042e-02
6.184242121060529826e+03 1.022710986490383167e+00 2.000000000000000042e-02
6.184262131065533140e+03 1.019079707500669230e+00 2.000000000000000042e-02
6.184282141070535545e+03 1.013027495790916666e+00 2.000000000000000042e-02
6.184302151075537950e+03 9.936942843958576077e-01 2.000000000000000042e-02
6.184322161080540354e+03 1.015179052212166866e+00 2.000000000000000042e-02
6.184342171085542759e+03 9.845431620148644702e-01 2.000000000000000042e-02
6.184362181090545164e+03 9.952632926637098310e-01 2.000000000000000042e-02
6.184382191095547569e+03 9.902923923243037718e-01 2.000000000000000042e-02
6.184402201100549973e+03 1.001637144540370672e+00 2.000000000000000042e-02
6.184422211105552378e+03 1.046292831547154245e+00 2.000000000000000042e-02
6.184442221110555693e+03 9.626543548120684024e-01 2.000000000000000042e-02
6.184462231115558097e+03 1.013724860910689918e+00 2.000000000000000042e-02
6.184482241120560502e+03 9.677453381076751571e-01 2.000000000000000042e-02
6.184502251125562907e+03 9.905610166328152610e-01 2.000000000000000042e-02
6.184522261130565312e+03 1.021778664293846450e+00 2.000000000000000042e-02
6.184542271135567717e+03 1.001285251130955789e+00 2.000000000000000042e-02
6.184562281140570121e+03 9.784447535735502077e-01 2.000000000000000042e-02
6.184582291145572526e+03 9.856935733184579718e-01 2.000000000000000042e-02
6.184602301150574931e+03 1.013591600842191465e+00 2.000000000000000042e-02
6.184622311155577336e+03 9.853923115772018626e-01 2.000000000000000042e-02
6.184642321160580650e+03 1.004328814339321863e+00 2.000000000000000042e-02
6.184662331165583055e+03 1.000911077669871085e+00 2.000000000000000042e-02
6.184682341170585460e+03 9.869676322316477401e-01 2.000000000000000042e-02
6.184702351175587864e+03 1.042878519269977655e+00 2.000000000000000042e-02
6.184722361180590269e+03 1.012678016217155585e+00 2.000000000000000042e-02
6.184742371185592674e+03 9.594967823124622708e-01 2.000000000000000042e-02
6.184762381190595079e+03 1.003728718603193792e+00 2.000000000000000042e-02
6.184782391195597484e+03 9.867639012618737437e-01 2.000000000000000042e-02
6.184802401200599888e+03 1.017048295489721754e+00 2.000000000000000042e-02
6.184822411205603203e+03 9.841492122486897864e-01 2.000000000000000042e-02
6.184842421210605607e+03 9.977048963984135321e-01 2.000000000000000042e-02
6.184862431215608012e+03 1.010099369004497261e+00 2.000000000000000042e-02
6.184882441220610417e+03 1.017314725492022731e+00 2.000000000000000042e-02
6.184902451225612822e+03 9.759936916376983351e-01 2.000000000000000042e-02
6.184922461230615227e+03 9.933095932185123100e-01 2.000000000000000042e-02
6.184942471235617631e+03 9.905007098548157529e-01 2.000000000000000042e-02
6.184962481240620036e+03 9.869330295553090382e-01 2.000000000000000042e-02
6.184982491245622441e+03 1.035308697127057753e+00 2.000000000000000042e-02
6.185002501250625755e+03 1.008099244641067038e+00 2.000000000000000042e-02
6.185022511255628160e+03 9.747819294211730323e-01 2.000000000000000042e-02
6.185042521260630565e+03 1.018356845520461462e+00 2.000000000000000042e-02
6.185062531265632970e+03 1.042442728576428168e+00 2.000000000000000042e-02
6.185082541270635375e+03 1.020648907889173174e+00 2.000000000000000042e-02
6.185102551275637779e+03 9.696122013860569711e-01 2.000000000000000042e-02
6.185122561280640184e+03 9.903149172596560357e-01 2.000000000000000042e-02
6.185142571285642589e+03 1.025337819697256680e+00 2.000000000000000042e-02
6.185162581290644994e+03 9.858462053822313331e-01 2.000000000000000042e-02
6.185182591295647399e+03 1.008875981222992824e+00 2.000000000000000042e-02
6.185202601300650713e+03 1.015492271678330560e+00 2.000000000000000042e-02
6.185222611305653118e+03 9.814609791119066617e-01 2.000000000000000042e-02
6.185242621310655522e+03 9.988090793398376466e-01 2.000000000000000042e-02
6.185262631315657927e+03 9.351742375610074820e-01 2.000000000000000042e-02
6.185282641320660332e+03 9.795118294205563680e-01 2.000000000000000042e-02
6.185302651325662737e+03 9.949482170875950660e-01 2.000000000000000042e-02
6.185322661330665142e+03 9.750439143275630993e-01 2.000000000000000042e-02
6.185342671335667546e+03 1.032647801879900795e+00 2.000000000000000042e-02
6.185362681340669951e+03 9.713967460592871639e-01 2.000000000000000042e-02
6.185382691345673265e+03 9.911986816844317039e-01 2.000000000000000042e-02
6.185402701350675670e+03 1.002614380746417400e+00 2.000000000000000042e-02
6.185422711355678075e+03 1.028825032746605084e+00 2.000000000000000042e-02
6.185442721360680480e+03 9.712823216883523791e-01 2.000000000000000042e-02
6.185462731365682885e+03 1.023262837483574828e+00 2.000000000000000042e-02
6.185482741370685289e+03 1.000204221371080893e+00 2.000000000000000042e-02
6.185502751375687694e+03 9.803693848214223294e-01 2.000000000000000042e-02
6.185522761380690099e+03 1.009241625000615095e+00 2.000000000000000042e-02
6.185542771385692504e+03 1.003980747080857716e+00 2.000000000000000042e-02
6.185562781390694909e+03 9.879952132611129478e-01 2.000000000000000042e-02
6.185582791395698223e+03 1.001395590119640078e+00 2.000000000000000042e-02
6.185602801400700628e+03 9.922932740785913586e-01 2.000000000000000042e-02
6.185622811405703033e+03 1.002269890497057281e+00 2.000000000000000042e-02
6.185642821410705437e+03 1.013242154638657411e+00 2.000000000000000042e-02
6.185662831415707842e+03 1.031719875007122145e+00 2.000000000000000042e-02
6.185682841420710247e+03 9.752432262232056948e-01 2.000000000000000042e-02
6.185702851425712652e+03 1.042660201187713520e+00 2.000000000000000042e-02
6.185722861430715056e+03 9.609577751780694621e-01 2.000000000000000042e-02
6.185742871435717461e+03 9.969638267205878090e-01 2.000000000000000042e-02
6.185762881440720776e+03 1.011765870182380400e+00 2.000000000000000042e-02
6.185782891445723180e+03 1.005619360817144869e+00 2.000000000000000042e-02
6.185802901450725585e+03 9.875455304539070278e-01 2.000000000000000042e-02
6.185822911455727990e+03 9.958370732089172339e-01 2.000000000000000042e-02
6.185842921460730395e+03 9.901394968662455831e-01 2.000000000000000042e-02
6.185862931465732800e+03 9.882122177412547837e-01 2.000000000000000042e-02
6.185882941470735204e+03 1.016991552118373221e+00 2.000000000000000042e-02
6.185902951475737609e+03 1.007139817171898821e+00 2.000000000000000042e-02
6.185922961480740014e+03 9.861413127985926286e-01 2.000000000000000042e-02
6.185942971485742419e+03 1.017991499439968806e+00 2.000000000000000042e-02
6.185962981490745733e+03 1.006145489552346284e+00 2.000000000000000042e-02
6.185982991495748138e+03 1.016256738690836103e+00 2.000000000000000042e-02
6.186003001500750543e+03 1.012592070307218872e+00 2.000000000000000042e-02
6.186023011505752947e+03 9.834195903801530303e-01 2.000000000000000042e-02
6.186043021510755352e+03 9.887958668993666045e-01 2.000000000000000042e-02
6.186063031515757757e+03 1.014945356885049055e+00 2.000000000000000042e-02
6.186083041520760162e+03 1.012206887144794898e+00 2.000000000000000042e-02
6.186103051525762567e+03 9.995814469843412597e-01 2.000000000000000042e-02
6.186123061530764971e+03 1.002346023530943819e+00 2.000000000000000042e-02
6.186143071535768286e+03 1.025552770755009391e+00 2.000000000000000042e-02
6.186163081540770690e+03 9.881680420100052986e-01 2.000000000000000042e-02
6.186183091545773095e+03 1.010941414330285726e+00 2.000000000000000042e-02
6.186203101550775500e+03 9.959556105507210155e-01 2.000000000000000042e-02
6.186223111555777905e+03 9.956458363993840877e-01 2.000000000000000042e-02
6.186243121560780310e+03 1.021974994339876375e+00 2.000000000000000042e-02
6.186263131565782714e+03 1.016507781087424789e+00 2.000000000000000042e-02
