# Wave Flux Err
6.180020010005002405e+03 1.009933380455042773e+00 2.000000000000000042e-02
6.180040020010004810e+03 9.972338066085469910e-01 2.000000000000000042e-02
6.180060030015007214e+03 1.012952858627456765e+00 2.000000000000000042e-02
6.180080040020009619e+03 1.030459680495456221e+00 2.000000000000000042e-02
6.180100050025012933e+03 9.953160117973421928e-01 2.000000000000000042e-02
6.180120060030015338e+03 9.953163365356438863e-01 2.000000000000000042e-02
6.180140070035017743e+03 1.031583328773962194e+00 2.000000000000000042e-02
6.180160080040020148e+03 1.015347764146456111e+00 2.000000000000000042e-02
6.180180090045022553e+03 9.906095791527063099e-01 2.000000000000000042e-02
6.180200100050024957e+03 1.010850265174703999e+00 2.000000000000000042e-02
6.180220110055027362e+03 9.907307079421122653e-01 2.000000000000000042e-02
6.180240120060029767e+03 9.906844642493155551e-01 2.000000000000000042e-02
6.180260130065032172e+03 1.004838302294742691e+00 2.000000000000000042e-02
6.180280140070034577e+03 9.617334495027636265e-01 2.000000000000000042e-02
6.180300150075037891e+03 9.655006952678947263e-01 2.000000000000000042e-02
6.180320160080040296e+03 9.887532988452500948e-01 2.000000000000000042e-02
6.180340170085042701e+03 9.797424245249133357e-01 2.000000000000000042e-02
6.180360180090045105e+03 1.006283991074595097e+00 2.000000000000000042e-02
6.180380190095047510e+03 9.818385603928510008e-01 2.000000000000000042e-02
6.180400200100049915e+03 9.717529653465891704e-01 2.000000000000000042e-02
6.180420210105052320e+03 1.029312012211118121e+00 2.000000000000000042e-02
6.180440220110054725e+03 9.954835082716565475e-01 2.000000000000000042e-02
6.180460230115057129e+03 1.001349595813093130e+00 2.000000000000000042e-02
6.180480240120060444e+03 9.715040654221959171e-01 2.000000000000000042e-02
6.180500250125062848e+03 9.891113720722095604e-01 2.000000000000000042e-02
6.180520260130065253e+03 1.002217475762213317e+00 2.000000000000000042e-02
6.180540270135067658e+03 9.769791498138619135e-01 2.000000000000000042e-02
6.180560280140070063e+03 1.007512979112435980e+00 2.000000000000000042e-02
6.180580290145072468e+03 9.879862423192187215e-01 2.000000000000000042e-02
6.180600300150074872e+03 9.941651384825922477e-01 2.000000000000000042e-02
6.180620310155077277e+03 9.879648785834561631e-01 2.000000000000000042e-02
6.180640320160079682e+03 1.037044571856464481e+00 2.000000000000000042e-02
6.180660330165082087e+03 9.997290609983570109e-01 2.000000000000000042e-02
6.180680340170085401e+03 9.788447842293460655e-01 2.000000000000000042e-02
6.180700350175087806e+03 1.016449898354325088e+00 2.000000000000000042e-02
6.180720360180090211e+03 9.755821244050196794e-01 2.000000000000000042e-02
6.180740370185092615e+03 1.004176266585022681e+00 2.000000000000000042e-02
6.180760380190095020e+03 9.608055894760568760e-01 2.000000000000000042e-02
6.180780390195097425e+03 9.734352682325768669e-01 2.000000000000000042e-02
6.180800400200099830e+03 1.003936211172915982e+00 2.000000000000000042e-02
6.180820410205102235e+03 1.014768315288450573e+00 2.000000000000000042e-02
6.180840420210104639e+03 1.003426346533300428e+00 2.000000000000000042e-02
6.180860430215107954e+03 9.976860124705698718e-01 2.000000000000000042e-02
6.180880440220110358e+03 9.939769014031846206e-01 2.000000000000000042e-02
6.180900450225112763e+03 9.704285326919834809e-01 2.000000000000000042e-02
6.180920460230115168e+03 9.856020855034490769e-01 2.000000000000000042e-02
6.180940470235117573e+03 9.907861914117322977e-01 2.000000000000000042e-02
6.180960480240119978e+03 1.021141408502390213e+00 2.000000000000000042e-02
6.180980490245122382e+03 1.006871326903882702e+00 2.000000000000000042e-02
6.181000500250124787e+03 9.647381551271035915e-01 2.000000000000000042e-02
6.181020510255127192e+03 1.006480634731362400e+00 2.000000000000000042e-02
6.181040520260130506e+03 9.922973068314312473e-01 2.000000000000000042e-02
6.181060530265132911e+03 9.864605095170339011e-01 2.000000000000000042e-02
6.181080540270135316e+03 1.012232472370388825e+00 2.000000000000000042e-02
6.181100550275137721e+03 1.020618934100850694e+00 2.000000000000000042e-02
6.181120560280140126e+03 1.018624543077476519e+00 2.000000000000000042e-02
6.181140570285142530e+03 9.832145872616979698e-01 2.000000000000000042e-02
6.181160580290144935e+03 9.938146872268185383e-01 2.000000000000000042e-02
6.181180590295147340e+03 1.006624200376215583e+00 2.000000000000000042e-02
6.181200600300149745e+03 1.019509831281419698e+00 2.000000000000000042e-02
6.181220610305152150e+03 9.904154409593345365e-01 2.000000000000000042e-02
6.181240620310155464e+03 9.962857431465851343e-01 2.000000000000000042e-02
6.181260630315157869e+03 9.778722201496286015e-01 2.000000000000000042e-02
6.181280640320160273e+03 9.760747840842038947e-01 2.000000000000000042e-02
6.181300650325162678e+03 1.016249429935861093e+00 2.000000000000000042e-02
6.181320660330165083e+03 1.027123710967556169e+00 2.000000000000000042e-02
6.181340670335167488e+03 9.985587048586069825e-01 2.000000000000000042e-02
6.181360680340169893e+03 1.020069562127950968e+00 2.000000000000000042e-02
6.181380690345172297e+03 1.007231621536689881e+00 2.000000000000000042e-02
6.181400700350174702e+03 9.870965027949005766e-01 2.000000000000000042e-02
6.181420710355178016e+03 1.007226806833983357e+00 2.000000000000000042e-02
6.181440720360180421e+03 1.030759622875399018e+00 2.000000000000000042e-02
6.181460730365182826e+03 9.992823675715029053e-01 2.000000000000000042e-02
6.181480740370185231e+03 1.031291758262867564e+00 2.000000000000000042e-02
6.181500750375187636e+03 9.476039798428455008e-01 2.000000000000000042e-02
6.181520760380190040e+03 1.016436928775266146e+00 2.000000000000000042e-02
6.181540770385192445e+03 1.001739816800620408e+00 2.000000000000000042e-02
6.181560780390194850e+03 9.940187251595076212e-01 2.000000000000000042e-02
6.181580790395197255e+03 1.001834084417278170e+00 2.000000000000000042e-02
6.181600800400199660e+03 9.602474872969679609e-01 2.000000000000000042e-02
6.181620810405202974e+03 9.956054245192268448e-01 2.000000000000000042e-02
6.181640820410205379e+03 1.007141110377673954e+00 2.000000000000000042e-02
6.181660830415207784e+03 1.029556736498100422e+00 2.000000000000000042e-02
6.181680840420210188e+03 9.896334478778934240e-01 2.000000000000000042e-02
6.181700850425212593e+03 9.838289768097580046e-01 2.000000000000000042e-02
6.181720860430214998e+03 9.899637046042428778e-01 2.000000000000000042e-02
6.181740870435217403e+03 1.018306884422234493e+00 2.000000000000000042e-02
6.181760880440219807e+03 1.006573860837487899e+00 2.000000000000000042e-02
6.181780890445222212e+03 9.894036311287868202e-01 2.000000000000000042e-02
6.181800900450225527e+03 1.010264180409851331e+00 2.000000000000000042e-02
6.181820910455227931e+03 1.001940379261515579e+00 2.000000000000000042e-02
